categories,fraction,num_cutoff,enrichment,log10_P
LD,1.000,32,1.9183728417190091,-2.1260479040356586
LD,0.900,31,2.064915211572544,-2.4940452841128717
LD,0.800,31,2.323029613019113,-3.2687512855882233
LD,0.700,28,2.397966052148761,-3.1847697118073484
LD,0.600,25,2.497881304321626,-3.12239866926393
LD,0.500,22,2.6377626573636372,-3.0527889951699763
LD,0.400,21,3.1473304434452496,-3.9347609261003527
LD,0.300,17,3.3971185738774117,-3.634530655351682
LD,0.200,9,2.6977118086673566,-1.6631381894776496
LD,0.100,4,2.3979660521487616,-0.9376872889175729
LD,0.090,4,2.664406724609735,-1.0243555328077036
LD,0.080,4,2.9974575651859516,-1.135581582860823
LD,0.070,3,2.5692493415879585,-0.854681104072597
LD,0.060,3,2.9974575651859516,-0.9612865894307561
LD,0.050,3,3.5969490782231426,-1.1061512119932218
LD,0.040,3,4.496186347778928,-1.3006906000279628
LD,0.030,2,3.9966100869146026,-0.9197057241034372
LD,0.020,2,5.994915130371903,-1.1749052831079325
LD,0.010,1,5.994915130371903,-0.7118463062146816
CD4BS,1.000,156,1.8262621285570717,-5.390829829362701
CD4BS,0.900,147,1.9121120576772759,-6.164514775222415
CD4BS,0.800,142,2.0779585116594887,-8.106590731067627
CD4BS,0.700,129,2.1573975694492877,-8.2771680477681
CD4BS,0.600,122,2.380384398332935,-10.400511715157336
CD4BS,0.500,95,2.224293618114382,-6.539558392284562
CD4BS,0.400,87,2.5462308523151482,-8.696945369278637
CD4BS,0.300,65,2.536475178551488,-6.532074983500934
CD4BS,0.200,42,2.458429788442212,-4.181204167898386
CD4BS,0.100,16,1.8730893626226377,-1.3446997374222747
CD4BS,0.090,14,1.8210591025497866,-1.2192902187089203
CD4BS,0.080,13,1.9023563839136162,-1.2582924829750937
CD4BS,0.070,9,1.5051610949646195,-0.8880582623605733
CD4BS,0.060,9,1.7560212774587227,-0.9954310966983257
CD4BS,0.050,9,2.1072255329504674,-1.2212794410174865
CD4BS,0.040,6,1.7560212774587227,-0.8642973487048948
CD4BS,0.030,4,1.5609078021855316,-0.71025512232859
CD4BS,0.020,3,1.7560212774587227,-0.6711684636086375
CD4BS,0.010,2,2.341361703278297,-0.6577569600488005
V1,1.000,202,3.1849286105923795,-40.63248851172648
V1,0.900,190,3.3285832563946753,-39.966669446328524
V1,0.800,183,3.6066951468960737,-42.96848741522081
V1,0.700,175,3.9417433299410636,-45.90857168797265
V1,0.600,162,4.2570827963363485,-45.937866593985746
V1,0.500,150,4.730091995929277,-47.06964188136499
V1,0.400,138,5.439605795318668,-50.05569030857214
V1,0.300,112,5.886336706045321,-42.620456613150964
V1,0.200,95,7.4893123268880215,-44.44376838536846
V1,0.100,53,8.356495859475055,-26.43676529464551
V1,0.090,48,8.409052437207603,-24.007244575334994
V1,0.080,45,8.868922492367393,-23.500488162526267
V1,0.070,40,9.009699039865287,-21.120720644004564
V1,0.060,37,9.722966880521291,-20.743591311146474
V1,0.050,30,9.460183991858553,-16.57333402232689
V1,0.040,24,9.460183991858553,-13.332006881130383
V1,0.030,15,7.883486659882128,-7.489691561314999
V1,0.020,11,8.67183532587034,-6.05476098111717
V1,0.010,8,12.613578655811404,-5.855843620750306
V2,1.000,163,2.067966886716429,-9.530059427184824
V2,0.900,154,2.1708718510860945,-10.48628245389591
V2,0.800,146,2.3153616983174743,-11.965823474722129
V2,0.700,138,2.5011343590435335,-13.777683240969964
V2,0.600,118,2.4950929717028485,-11.48132631799217
V2,0.500,89,2.2582705879480023,-6.4690353977721315
V2,0.400,75,2.3787962653946653,-6.42415086487199
V2,0.300,47,1.9876164350853198,-2.7228940099553256
V2,0.200,31,1.9664715793929233,-2.044943356039539
V2,0.100,13,1.6492987440069677,-1.0561339858862766
V2,0.090,11,1.5506227507757817,-0.9536098052982425
V2,0.080,11,1.7444505946227544,-1.0604881103695334
V2,0.070,7,1.2686913415438215,-0.8186359851702036
V2,0.060,6,1.2686913415438215,-0.784438396024143
V2,0.050,5,1.2686913415438215,-0.744137137731741
V2,0.040,3,0.9515185061578662,-0.7238091678643741
V2,0.030,3,1.2686913415438215,-0.6325412199591938
V2,0.020,2,1.2686913415438215,-0.5445411233891946
V2,0.010,0,0.0,-0.4622595287801232
V3,1.000,131,2.0477187183141394,-7.561676634097239
V3,0.900,127,2.2057699510254087,-9.294248209978832
V3,0.800,117,2.286098187430862,-9.390541297994787
V3,0.700,114,2.545691754501765,-12.073208990456806
V3,0.600,93,2.4228732926617673,-8.539163037940853
V3,0.500,79,2.4697676144552214,-7.451910089050216
V3,0.400,62,2.422873292661768,-5.724418359174251
V3,0.300,33,1.719458465759964,-1.5628093902005276
V3,0.200,23,1.7976156687490539,-1.464669027332775
V3,0.100,16,2.5010304956508573,-2.1416432384313566
V3,0.090,16,2.778922772945397,-2.513927913838188
V3,0.080,13,2.5401090971454017,-1.9182136355577768
V3,0.070,12,2.6796755310544897,-1.9606259267587802
V3,0.060,11,2.8657641095999407,-2.031070936057631
V3,0.050,10,3.1262881195635717,-2.1305561999893143
V3,0.040,10,3.9078601494544642,-2.7474256424513896
V3,0.030,7,3.6473361394908337,-1.9730396883089725
V3,0.020,4,3.1262881195635717,-1.1780151102693708
V3,0.010,2,3.1262881195635717,-0.7885353787644362
V4,1.000,181,3.513958971969951,-44.905456471859
