categories,fraction,num_cutoff,enrichment,log10_P
LD,1.000,23,0.8064726273293993,-4.699785851484194
LD,0.900,22,0.8571206667268978,-3.6478353722486645
LD,0.800,18,0.7889406136918037,-3.7358433423032693
LD,0.700,15,0.751372013039813,-3.5109193082271304
LD,0.600,12,0.7012805455038255,-3.3301597095214674
LD,0.500,12,0.8415366546045906,-2.2334070410970526
LD,0.400,7,0.6136204773158472,-2.6767142838871223
LD,0.300,5,0.5844004545865212,-2.1904357436392274
LD,0.200,3,0.525960409127869,-1.7119251631756924
LD,0.100,2,0.7012805455038255,-0.8657450130602911
LD,0.090,2,0.7792006061153617,-0.7701599655175642
LD,0.080,2,0.8766006818797818,-0.6863776951967111
LD,0.070,2,1.0018293507197507,-0.6173244091412471
LD,0.060,2,1.1688009091730427,-0.5672993573800795
LD,0.050,2,1.402561091007651,-0.543250616935552
LD,0.040,2,1.7532013637595636,-0.555661704099407
LD,0.030,2,2.3376018183460854,-0.6265524216514677
LD,0.020,2,3.506402727519127,-0.803877468717701
LD,0.010,2,7.012805455038254,-1.2452570271217667
CD4BS,1.000,182,1.2174641923096812,-4.2534743811884255
CD4BS,0.900,170,1.263546475535078,-2.993939241170665
CD4BS,0.800,152,1.270979101861755,-2.6094105873435183
CD4BS,0.700,137,1.3092040372560934,-2.0278793155675885
CD4BS,0.600,125,1.393617436251924,-1.4866069819699987
CD4BS,0.500,115,1.5385536496221244,-1.3826891487278772
CD4BS,0.400,99,1.655617514267286,-1.71733423050091
CD4BS,0.300,80,1.783830318402463,-2.0635386819039923
CD4BS,0.200,50,1.672340923502309,-1.4154255474757065
CD4BS,0.100,14,0.936510917161293,-1.7458844687459987
CD4BS,0.090,10,0.743262632667693,-2.2802273576721745
CD4BS,0.080,8,0.6689363694009236,-2.3759097887030975
CD4BS,0.070,7,0.6689363694009236,-2.14824691478168
CD4BS,0.060,4,0.4459575796006158,-2.7297384427797624
CD4BS,0.050,4,0.5351490955207389,-2.0648994502514597
CD4BS,0.040,4,0.6689363694009236,-1.439759523182488
CD4BS,0.030,4,0.8919151592012317,-0.9551378944331645
CD4BS,0.020,2,0.6689363694009236,-0.9052842076364414
CD4BS,0.010,1,0.6689363694009236,-0.5649424122663049
V1,1.000,643,5.442178853987445,-891.6417604979233
V1,0.900,593,5.576658131008389,-780.426898819037
V1,0.800,554,5.86113352470654,-700.0446170813493
V1,0.700,511,6.178523426766462,-605.2146758120225
V1,0.600,464,6.545285091369037,-495.8452718482031
V1,0.500,434,7.346518266346972,-437.3068660972467
V1,0.400,365,7.7231542834580775,-266.1752712121902
V1,0.300,259,7.307020856312848,-141.6909062268437
V1,0.200,169,7.151852459750219,-79.65998428440139
V1,0.100,91,7.701994956654082,-42.48068209793519
V1,0.090,83,7.8054405543625025,-39.0071019686103
V1,0.080,76,8.040544185518,-36.55051981525219
V1,0.070,64,7.7382680883180734,-29.517167516543623
V1,0.060,55,7.7584198281314025,-25.356512774898306
V1,0.050,46,7.786632263870061,-21.152469977466126
V1,0.040,30,6.34779804119842,-11.479794548077166
V1,0.030,24,6.770984577278314,-9.9345418572575
V1,0.020,11,4.655051896878842,-3.3981511453448547
V1,0.010,4,3.385492288639157,-1.2063014289526564
V2,1.000,119,0.8830426775884798,-15.47764258364441
V2,0.900,109,0.8987082339602641,-12.610723412639345
V2,0.800,98,0.9090145210469643,-10.376037453188474
V2,0.700,87,0.9222654615870076,-8.41160027852311
V2,0.600,75,0.9275658378030248,-6.9410082252716165
V2,0.500,65,0.964668471315146,-5.453396586705821
V2,0.400,55,1.0203224215833273,-3.5135104725081874
V2,0.300,43,1.0636088273474684,-2.5004431017982824
V2,0.200,34,1.261489539412114,-1.3449573689999852
V2,0.100,24,1.7809264085818077,-1.2672742740508056
V2,0.090,23,1.8963568239528512,-1.3907131009668774
V2,0.080,22,2.040644843166655,-1.564878415291446
V2,0.070,18,1.9081354377662227,-1.2776258192950536
V2,0.060,17,2.1024825656868567,-1.4621927037406977
V2,0.050,13,1.9293369426302918,-1.1403721773993993
V2,0.040,11,2.040644843166655,-1.1578744819839812
V2,0.030,7,1.7314562305656467,-0.8488543715186552
V2,0.020,4,1.4841053404848399,-0.6852380348705083
V2,0.010,1,0.7420526702424199,-0.5153967032371156
V3,1.000,136,1.243416623374691,-2.9911504594620055
V3,0.900,129,1.3104635981645028,-2.0255493948207004
V3,0.800,121,1.3828438550398676,-1.5049094550886366
V3,0.700,116,1.515087482263279,-1.3673763190854515
V3,0.600,73,1.1123702635582406,-3.1824882501568936
V3,0.500,67,1.2251310847956516,-2.0874516048188525
V3,0.400,34,0.7771353896091818,-5.755548090006869
V3,0.300,28,0.8533251336885134,-3.665206714467786
V3,0.200,14,0.639993850266385,-4.124227363574619
V3,0.100,5,0.4571384644759893,-3.170330622008919
V3,0.090,5,0.5079316271955437,-2.662868831731771
V3,0.080,5,0.5714230805949867,-2.1865564851156023
V3,0.070,4,0.5224439594011306,-2.1211578069622874
V3,0.060,3,0.4571384644759893,-2.063137778854525
V3,0.050,3,0.5485661573711872,-1.5885089308180795
V3,0.040,2,0.4571384644759893,-1.4873235476399032
V3,0.030,2,0.6095179526346525,-1.0168964793383566
V3,0.020,2,0.9142769289519787,-0.655506634682979
V3,0.010,2,1.8285538579039573,-0.5607492807777135
V4,1.000,195,2.2142746049760467,-15.31184321231558
V4,0.900,184,2.321518674162921,-16.089941869284303
V4,0.800,168,2.3846034207434346,-14.982601912341124
V4,0.700,154,2.4981559645883604,-14.994191846781177
V4,0.600,143,2.7063356283040565,-16.609484986780444
V4,0.500,131,2.9750766487370472,-17.672833789356446
V4,0.400,119,3.378188179386532,-20.812746317390065
V4,0.300,105,3.9743390345723912,-23.40094754572374
V4,0.200,74,4.201444122262242,-17.089850257017588
V4,0.100,43,4.882759385331795,-11.957428148766553
V4,0.090,42,5.299118712763189,-12.896193063442524
V4,0.080,36,5.109864473021646,-10.626822477099722
V4,0.070,32,5.190973432910878,-9.670793240957892
V4,0.060,29,5.488372952504731,-9.38732078083433
V4,0.050,22,4.996311929176721,-6.49568109022232
V4,0.040,17,4.8259831134093325,-5.0071789367093515
V4,0.030,13,4.920610233280104,-4.076164414561049
V4,0.020,12,6.813152630695529,-5.238889291809642
V4,0.010,7,7.948678069144783,-3.7570688715472897
V5,1.000,98,2.7429911863171563,-18.38859088562276
V5,0.900,94,2.923369291539826,-18.842548029029786
V5,0.800,82,2.868944863239882,-13.814576892487821
V5,0.700,75,2.998897069588727,-12.938595740013625
V5,0.600,66,3.0788676581110934,-11.179801548170872
V5,0.500,64,3.5826823658019995,-13.534589365248394
V5,0.400,59,4.128481632467148,-15.320597205839476
V5,0.300,52,4.851549037023541,-16.0213210279162
V5,0.200,38,5.318044136737343,-12.399877953052737
V5,0.100,21,5.877838256393905,-7.511329167888903
V5,0.090,19,5.908937929708159,-6.862033635788521
V5,0.080,18,6.297683846136327,-6.9308939551496
V5,0.070,16,6.397647081789284,-6.298964722533185
V5,0.060,12,5.597941196565624,-4.2899068907387345
V5,0.050,8,4.478352957252499,-2.455003530797967
V5,0.040,7,4.898198546994922,-2.429940876669093
V5,0.030,6,5.597941196565624,-2.4262157885273155
V5,0.020,3,4.1984558974242185,-1.1748695121157766
V5,0.010,2,5.597941196565624,-1.0912333605394053
Reversion,1.000,503,9.50913242839325,-894.4775095031509
Reversion,0.900,465,9.76749851823031,-844.1309716188143
Reversion,0.800,422,9.972300906515786,-773.1165830834098
Reversion,0.700,391,10.55970116302687,-728.8741350774362
Reversion,0.600,364,11.468933743986558,-692.4023579433106
Reversion,0.500,346,13.082146402481373,-677.5570910861552
Reversion,0.400,293,13.847792254071683,-564.1435299590198
Reversion,0.300,229,14.43069135919188,-409.5376900172571
Reversion,0.200,157,14.840296135762825,-225.8044167424025
Reversion,0.100,83,15.69101374864095,-73.1174720025843
Reversion,0.090,77,16.1741373312631,-67.55173355144916
Reversion,0.080,69,16.305420913497375,-59.29627628607426
Reversion,0.070,56,15.12386867338887,-44.43713454568126
Reversion,0.060,49,15.438949270751138,-38.703082528943526
Reversion,0.050,36,13.611481806049982,-25.533923589284342
Reversion,0.040,26,12.288143297128457,-17.105493781607407
Reversion,0.030,22,13.863546283939797,-15.648036250628536
Reversion,0.020,15,14.178626881302065,-10.915144267235434
Reversion,0.010,9,17.01435225756248,-7.52809098814069
Hole,1.000,89,0.3745649852233076,-101.14166822150582
Hole,0.900,84,0.39280223169485434,-83.17988866278574
Hole,0.800,81,0.4261202781332572,-65.50612294700204
Hole,0.700,75,0.450920929241542,-51.861121137886585
Hole,0.600,70,0.49100278961856797,-39.00448602844972
Hole,0.500,70,0.5892033475422817,-25.955575389971273
Hole,0.400,67,0.7049397193809439,-14.421731673232443
Hole,0.300,61,0.8557477190495041,-7.08857599735984
Hole,0.200,47,0.9890199048031154,-3.4018543499978477
Hole,0.100,29,1.2204926484804404,-1.3646199549534686
Hole,0.090,28,1.3093407723161814,-1.1871849049755383
Hole,0.080,26,1.367793485366011,-1.1089036001924342
Hole,0.070,25,1.5030697641384736,-1.070610073997841
Hole,0.060,20,1.4028651131959087,-1.0303744176540022
Hole,0.050,18,1.5150943222515811,-1.0009986690338337
Hole,0.040,15,1.5782232523453972,-0.9789972026228497
Hole,0.030,12,1.6834381358350903,-0.9668674821639343
Hole,0.020,6,1.2625786018763179,-0.7951612206279606
Hole,0.010,2,0.8417190679175451,-0.6958985281510195
Shield,1.000,275,17.065441494641995,-525.1530685695034
Shield,0.900,243,16.755160740193958,-462.41707184017287
Shield,0.800,219,16.98787130602998,-418.19539926877223
Shield,0.700,201,17.818980469730082,-388.10741463851355
Shield,0.600,176,18.20313759428479,-337.89510929555036
Shield,0.500,167,20.726754397128822,-329.1021345204854
Shield,0.400,142,22.02993356581057,-278.4536629892377
Shield,0.300,118,24.408752683245517,-228.26332680903306
Shield,0.200,93,28.856110163667367,-174.9510698228048
Shield,0.100,59,36.61312902486828,-94.74649409716369
Shield,0.090,53,36.54417774610205,-78.54546747856938
Shield,0.080,46,35.68228676152417,-61.223190243453644
Shield,0.070,43,38.120206975044454,-57.039681235171656
Shield,0.060,37,38.2679597152578,-47.10164785060033
Shield,0.050,29,35.9925675159722,-34.44534589633403
Shield,0.040,27,41.887901850484894,-33.79630799069784
Shield,0.030,23,47.57638234869889,-29.774976419489974
Shield,0.020,16,49.6449207116858,-20.696342484679604
Shield,0.010,8,49.6449207116858,-10.418750558248789
Shift,1.000,27,12.207331396427026,-27.962589451168242
Shift,0.900,25,12.5589829181348,-26.775214906489055
Shift,0.800,25,14.128855782901649,-28.664883290576654
Shift,0.700,23,14.855482651736594,-27.255304118900312
Shift,0.600,23,17.331396427026025,-29.259490076211478
Shift,0.500,23,20.79767571243123,-31.326030095325223
Shift,0.400,22,24.866786177906906,-32.175050000619194
Shift,0.300,21,31.648636953699693,-33.168821899153954
Shift,0.200,19,42.951721580021015,-32.60580990156268
Shift,0.100,16,72.33974160845645,-30.93656014239832
Shift,0.090,16,80.37749067606272,-31.707659318628203
Shift,0.080,15,84.77313469740992,-29.925747095542818
Shift,0.070,15,96.8835825113256,-30.840884504572728
Shift,0.060,12,90.42467701057056,-23.742444404651565
Shift,0.050,11,99.46714471162763,-21.973353138735433
Shift,0.040,10,113.0308462632132,-20.32019922683841
Shift,0.030,8,120.5662360140941,-15.898640730503274
Shift,0.020,4,90.42467701057056,-6.642845017601303
Shift,0.010,1,45.21233850528528,-1.475875680864739
PNG,1.000,337,1.339898323291055,-2.858326100780687
PNG,0.900,302,1.3341552708008526,-2.7327372627260047
PNG,0.800,275,1.3667360493510388,-2.0809812791130753
PNG,0.700,253,1.4370253318890924,-1.5418116481478137
PNG,0.600,223,1.4777315830559112,-1.4782373060379541
PNG,0.500,214,1.7017106301738028,-2.580586119216605
PNG,0.400,187,1.8587610271174129,-4.377589560428532
PNG,0.300,158,2.0940052925814707,-6.594272791160165
PNG,0.200,121,2.4054554468578284,-8.401494997149484
PNG,0.100,72,2.8626907797316306,-8.240630770515963
PNG,0.090,65,2.8715262451011734,-7.562366490584054
PNG,0.080,57,2.8328710841094265,-6.525867997604564
PNG,0.070,53,3.010369272336834,-6.985908019382805
PNG,0.060,45,2.9819695622204487,-5.939076264059167
PNG,0.050,36,2.8626907797316306,-4.477480908491998
PNG,0.040,32,3.1807675330351453,-5.048524618752026
PNG,0.030,27,3.5783634746645383,-5.364339894498926
PNG,0.020,18,3.5783634746645383,-3.8475915093952153
PNG,0.010,9,3.5783634746645383,-2.2862284577863647
